"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugnu,India,India,Indian Institute of Technology Kanpur,Civil,Earth Observation,Optical Imaging,LEO,,0,839,866,1.87E-03,20,102,3,,3,1 yr.,Indian Institute of Technology Kanpur,India,Sriharikota Launch Station,PSLV,2011-058B,37839,2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalpana-1 (Metsat-1),India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology,GEO,,74.07,35783,35789,7.12E-05,0.04,1436.08,1060,500,550,5-7 yrs.,ISRO Satellite Center,India,Satish Dhawan Space Center,Polar Satellite Launch Vehicle (PSLV),2002-043A,27525,2002-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-1 (Kazcosmos Earth Observation Satellite),NR,Kazakhstan,Kazcosmos,Government,Earth Observation,Optical Imaging,LEO,,0,751,754,2.11E-04,98.53,99.87,830,,1200,7.25 yrs.,Airbus Defence and Space,France,Guiana Space Center,Vega,2014-024A,39731,2014-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazEOSat-2 (kazcosmos Earth Observation Satellite),NR,Kazakhstan,Kazcosmos,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,612,636,1.72E-03,97.99,97.19,185,,55,7 yrs.,Surrey Satellite Technology Ltd. (SSTL),UK,Dombarovsky Air Base,Dnepr,2014-033A,40010,2014-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazSat-2,Kazakhstan,Kazakhstan,JSC KazSat,Commercial,Communications,,GEO,,86.5,35786,35788,2.37E-05,0.03,1436.13,1300,,,12 yrs.,Khrunichev,Russia,Baikonur Cosmodrome,Proton-M,2011-035B,37749,2011-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KazSat-3,NR (12/1/14),Kazakhstan,JSC KazSat,Commercial,Communications,,GEO,,58.5,35784,35789,5.93E-05,0.12,1436.08,,,5500,15 yrs.,Thales Alenia Space,Italy,Baikonur Cosmodrome,Proton-M,2014-023B,39728,2014-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keyhole 3 (Advanced KH-11, KH-12-4, Advanced Keyhole, Misty-2, EIS-1, 8X Enhanced Imaging System, USA 144)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,800,800,0E+00,63.4,100.87,18000,10000,,5+ yrs.,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1999-028A,25744,1999-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keyhole 4 (Advanced KH-11, Advanced Keyhole, Improved Crystal, EIS-2, 8X Enhanced Imaging System, NROL 14, USA 161)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,202,1041,6E-02,97.8,97.13,18000,10000,,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2001-044A,26934,2001-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,264,1050,5.59E-02,97.9,97,18000,10000,,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2005-042A,28888,2005-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,200,1000,5.74E-02,97.8,97,18000,10000,,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2011-002A,37348,2011-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",NR,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,257,997,5.29E-02,97.8,97.25,18000,10000,,5+ yrs.,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2013-043A,39232,2013-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kiku-8 (ETS-8, Engineering Test Satellite 8)",Japan,Japan,National Institute of Information and Communications Technology (NICT),Government,Technology Development,,GEO,,146.06,35778,35792,1.66E-04,0.03,1436.04,5800,,,,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2006-059A,29656,2006-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,,GEO,,143.05,35776,35796,2.37E-04,0.02,1436.1,4850,2450,,,JAXA/National Institute of Information and Communications Technology (NICT),Japan,Tanegashima Space Center,H2A,2008-007A,32500,2008-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KKS-1 (Kouku Kousen Satellite One, Kiseki)",Japan,Japan,Tokyo Metropolitan College of Industrial Technology,Civil,Technology Development,,LEO,,0,651,667,1.14E-03,98.03,97.92,3,,,1 yr.,Tokyo Metropolitan College of Industrial Technology,Japan,Tanegashima Space Center,H-2A,2009-002H,33499,2009-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobalt-M (Cosmos 2505),NR,Russia,Ministry of Defence,Military,Reconnaissance,Optical Imaging,LEO,,0,177,285,8.18E-03,81.4,89.12,6000,,,.3 yrs.,Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2015-027A,40667,2015-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,676,698,1.56E-03,98.2,98.5,800,,955,3 yrs.,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot,2006-031A,29268,2006-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,679,696,1.2E-03,98.2,98.5,980,,1300,4 yrs.,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Tanegashima Space Center,H2A,2012-025B,38338,2012-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,522,540,1.3E-03,97.5,95.25,980,,1300,4 yrs.,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2015-014A,40536,2015-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,535,552,1.23E-03,97.6,95.5,1400,,1400,5 yrs.,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2013-042A,39227,2013-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kondor (Cosmos 2487),Russia,Russia,Ministry of Defense,Military,Earth Observation,Radar Imaging,LEO,,0,497,501,2.91E-04,74.73,94.6,1150,,,,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2013-032A,39194,2013-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koreasat 5 (Mugungwha 5),South Korea,South Korea,KT Corporation/Korean Agency for Defense Development (ADD),Military/Commercial,Communications,,GEO,,113.08,35780,35792,1.42E-04,0.02,1436.1,4450,,,,Alcatel Alenia Space,France,Sea Launch (Odyssey),Zenit 3SL,2006-034A,29349,2006-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koreasat 6 (Mugungwha 6),South Korea,South Korea,KT Corporation,Commercial,Communications,,GEO,,116,35780,35794,1.66E-04,0.05,1436.12,2850,1150,,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2010-070B,37265,2010-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuaizhou-2 (KZ-2),NR (1/15),China,National Academy of Sciences,Government,Earth Observation,Optical Imaging,LEO,,0,295,328,2.47E-03,96.54,90.76,,,,,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Kuaizhou,2014-073A,40311,2014-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kukai (STARS-1),NR,Japan,Kanagawa University,Civil,Technology Development,,LEO,,0,647,667,1.42E-03,98.03,97.88,7,,,,Kanagawa University,Japan,Tanegashima Space Center,H-2A,2009-002G,33498,2009-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Intermediate,0,671,675,2.84E-04,57,98.2,14500,,,5 yrs.,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,1997-064A,25017,1997-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Intermediate,0,574,676,7.29E-03,68,97.21,14500,,,9 yrs.,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,2000-047A,26473,2000-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Intermediate,0,713,716,2.12E-04,57.01,99.08,14500,,,9 yrs.,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646,2005-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landsat 7,USA,USA,NASA/US Geological Survey,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,2744,2200,1500,15 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 2,1999-020A,25682,1999-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landsat 8,USA,USA,NASA/US Geological Survey,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,700,705,3.53E-04,98.2,98.8,2780,1512,4300,5 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Atlas 5,2013-008A,39084,2013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPAN-Tubsat,NR,Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,617,637,1.43E-03,97.7,97.2,60,,14,,Technical University of Berlin,Germany,Satish Dhawan Space Center,PSLV C7,2007-001A,29709,2007-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LatinSat A,NR,Argentina,Aprize Satellites Argentina,Commercial,Communications,,LEO,Intermediate,0,610,668,4.14E-03,64.6,97.5,,12,,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058H,27612,2002-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LatinSat B ,NR,Argentina,Aprize Satellites Argentina,Commercial,Communications,,LEO,Intermediate,0,603,717,8.11E-03,64.6,97.9,,12,,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058B,27606,2002-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leasat 5 (Syncom IV-5, Leased Satellite F5)",USA,USA/Australia,US DoD/Royal Australian Navy/Panamsat (owner),Military,Communications,,GEO,,100.08,35760,35812,6.17E-04,7.97,1436.1,3400,"1, 388",1200,10 yrs.,Hughes,USA,Cape Canaveral,Space Shuttle (STS 32R),1990-002B,20410,1990-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-1,NR (12/1/14),USA,Spire,Commercial,Technology Development,,LEO,Sun-Synchronous,0,612,697,6.05E-03,97.98,97.82,4,,,,NanoSatisfi Inc.,USA,Dombarovsky Air Base,Dnepr,2014-033AL,40044,2014-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ling Qiao,NR (1/15),China,Xinwei Telecom Technology Company,Commercial,Technology Development,,LEO,,0,779,808,2.02E-03,98.47,100.73,100,,,,Xinwei Telecom Technology Co/Tsinghua University,China,Jiuquan Satellite Launch Center,Long March 2D,2014-051A,40136,2014-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S1 (Cosmos 2455),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,900,911,7.56E-04,67.2,103.1,5000,,,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,2009-063A,36095,2009-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S2 (Cosmos 2502),NR (1/15),Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,901,910,6.19E-04,67.15,103.11,5000,,,,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2-1b,2014-086A,40358,2014-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S3 (Cosmos 2503),NR,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,555,570,1.08E-03,98,96,,,,,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420,2015-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luch 5A,Russia,Russia,Russian Federal Space Agency,Government,Communications,,GEO,,,35778,35793,1.78E-04,4.85,1436.8,950,,,,    ISS Reshetnev/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2011-074B,37951,2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luch 5B,Russia,Russia,Russian Federal Space Agency,Government,Communications,,GEO,,-16,35772,35801,3.44E-04,0.22,1436.09,1282,950,,,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2012-061A,38977,2012-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
